Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"UK","Home Counties","F","12","R","164","25","162","3","Bus","60","0.39","46","Netball","107","991","1000","206","1000","1000",
"UK","North West","M","14","R","164","24","168","1","Cycle","20","0.36","27","Rugby League","598","652","290","609","590","649",
"UK","London","M","13","R","156","22","152","1","Car","10","0.35","39","Football/Soccer","570","658","696","821","318","357",
"UK","London","M","13","R","174","22","173","4","Bus","15","0","35","Martial Arts","4","20","500","500","1000","1000",
"UK","South","F","13","R","160","19","111","1","Bus","30","0.5","68","Cycling","304","718","299","209","970","1000",
"UK","London","M","12","R","182","33","112","1","Walk","45","0.42","38","Athletics","739","536","341","345","1000","1000",
"UK","West Midlands","F","12","R","158","25","163","1","Walk","20","0.81","47","Swimming","500","500","500","500","500","500",
"UK","West Midlands","M","13","R","158","24","163","1","Bus","15","0.79","52","Football/Soccer","500","500","500","500","500","500",
"UK","North East","F","13","L","162","24","159","1","Bus","30","0","36","Athletics","407","562","188","369","1000","992",
"UK","East","F","13","R","147","20","140","2","Cycle","10","0.43","36","Other activities/sports","365","718","0","136","1000","1000",
"UK","South","M","14","R","163","27","163","2","Walk","10","0.36","36","Football/Soccer","870","846","485","500","1000","1000",
"UK","North West","M","14","R","145","20","154","1","Car","4","0.4","49","Athletics","0","111","158","0","998","1000",
"UK","West Midlands","M","13","R","151","24","152","1","Car","13","0.45","59","Skateboarding/Rollerblading","817","951","468","953","814","926",
"UK","South","F","14","R","173","24","171","1","Car","30","0","42","Football/Soccer","1000","500","500","500","500","500",
"UK","North West","F","13","R","200","23","170","3","Rail","45","0.31","28","Dancing","333","685","546","389","1000","1000",
"UK","North West","F","13","R","160","15","148","2","Bus","50","0.43","41","Dancing","687","548","418","577","830","859",
"UK","East","M","14","R","178","27","175","1","Bus","60","0.01","60","Football/Soccer","38","500","0","866","996","1000",
"UK","East Midlands","F","14","R","166","24","168","3","Car","5","0.59","43","Dancing","385","602","418","523","1000","1000",
"UK","East","F","11","R","156","27","145","1","Cycle","8","0.39","57","Football/Soccer","795","835","781","842","919","824",
"UK","North East","F","12","R","163","26","119","2","Bus","25","0.54","46","Netball","554","617","197","191","648","661",
"UK","North West","M","13","R","158","25","162","2","Walk","5","0.26","36","Football/Soccer","658","709","705","758","812","1000",
"UK","North East","F","13","L","170","12","158","2","Bus","30","0.56","48","Other activities/sports","318","584","643","612","1000","1000",
"UK","South West","F","14","R","153","23","148","4","Car","5","0.59","59","Dancing","710","581","1000","500","1000","1000",
"UK","West Midlands","F","13","R","151","23","117","2","Bus","15","0.34","62","Football/Soccer","562","500","528","521","1000","984",
"UK","South","F","14","R","158","21","160","5","Car","15","0.37","40","Dancing","0","0","0","0","984","1000",
"UK","North West","F","14","R","160","23","151","1","Walk","15","0.61","37","Basketball","615","396","638","644","1000","1000",
"UK","South","M","16","R","178","24","181","1","Walk","2","0.32","30","Swimming","1000","1000","1000","1000","1000","1000",
"UK","North East","F","14","R","156","34","147","1","Walk","10","0.44","51","Other activities/sports","121","197","150","123","584","647",
"UK","South","F","13","B","151","27","156","2","Bus","25","0.28","27","Swimming","687","828","917","899","573","579",
"UK","West Midlands","M","13","R","174","28","173","2","Walk","30","0.31","29","Swimming","500","500","500","500","500","500",
"UK","East","F","12","R","160","24","158","2","Bus","45","0.42","30","Swimming","729","376","562","581","71","558",
"UK","South West","M","13","R","163","15","163","1","Bus","20","0.35","34","Other activities/sports","1000","996","653","989","0","34",
"UK","Home Counties","F","14","R","173","22","170","2","Walk","6","0.4","37","Martial Arts","463","600","555","577","568","557",
"UK","Home Counties","F","12","L","185","22","120","2","Walk","30","0.82","38","Swimming","591","850","577","629","1000","1000",
"UK","Home Counties","F","12","R","156","23","152","2","Walk","35","0.37","40","Swimming","1000","1000","1000","1000","188","195",
"UK","South Africa","M","11","R","161","26","153","1","Car","20","0.9","52","Rugby League","767","815","806","624","636","761",
"UK","Home Counties","M","12","L","169","27","168","1","Walk","35","0.37","33","Martial Arts","617","600","383","555","500","476",
"UK","North East","M","11","R","157","23","155","1","Bus","40","0.67","50","Football/Soccer","481","622","531","966","212","121",
"UK","South","F","12","R","153","21","175","2","Bus","30","0.36","35","Dancing","1000","1000","1000","1000","1000","1000",
"UK","North West","F","13","R","173","24","171","2","Walk","15","0.42","40","Swimming","56","163","519","302","562","700",
"UK","North West","F","13","R","152","21","150","2","Car","15","0.37","37","Swimming","1000","1000","1000","1000","358","358",
"UK","North East","F","11","R","155","21","159","1","Walk","5","0.34","42","Netball","282","553","528","468","770","814",
"UK","East Midlands","M","11","R","144","25","145","1","Bus","30","0","39","Basketball","345","485","365","689","318","224",
"UK","North East","M","11","L","145","23","118","1","Car","10","0.35","50","Athletics","0","0","0","0","996","1000",
"UK","South","M","13","R","171","28","176","2","Car","55","0.34","31","Cycling","1000","1000","998","1000","1000","1000",
"UK","West Midlands","F","14","R","151","24","162","3","Bus","40","0.51","32","Skateboarding/Rollerblading","630","500","633","400","899","906",
"UK","Home Counties","M","13","R","163","25","163","1","Walk","45","0","68","Football/Soccer","1000","1000","532","1000","1000","1000",
"UK","East","F","13","R","167","25","158","3","Bus","50","0.39","32","Swimming","582","640","534","540","773","860",
"UK","North West","M","12","R","154","24","152","2","Car","5","0.87","94","Cycling","1000","1000","0","1000","0","1000",
"UK","East","M","14","R","166","27","166","1","Bus","75","0.35","34","Cycling","828","814","500","799","345","301",
"UK","North West","F","15","R","167","28","153","1","Walk","5","0.57","28","Athletics","678","358","988","1000","620","1000",
"UK","Home Counties","M","12","R","166","22","160","3","Bus","15","0.71","42","Basketball","1000","740","1000","752","1000","1000",
"UK","North West","F","14","R","159","23","156","2","Car","8","0.36","40","Dancing","519","409","409","729","633","754",
