name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,3.3,86,7.9,Ubisoft,M,X360
The Lord of the Rings: The Return of the King,Action,2003,Electronic Arts,3.28,85,8.7,EA,T,PS2
FIFA 16,Sports,2015,Electronic Arts,3.25,84,4.4,EA,E,XOne
Wii Music,Misc,2008,Nintendo,3.25,63,4.6,Nintendo,E,Wii
Madden NFL 16,Sports,2015,Electronic Arts,3.24,83,5.9,EA,E,PS4
Super Mario Maker,Platform,2015,Nintendo,3.21,88,8.7,Nintendo,E,WiiU
Ace Combat 04: Shattered Skies,Simulation,2001,Other,3.17,89,9.1,Namco,E,PS2
Animal Crossing,Simulation,2001,Nintendo,3.15,87,8.9,Nintendo,E,GC
FIFA Soccer 08,Sports,2007,Electronic Arts,3.14,83,6.5,EA,E,PS2
Spider-Man,Action,2000,Activision,3.13,87,9,Neversoft Entertainment,E,PS
Rhythm Heaven,Misc,2008,Nintendo,3.11,83,9,Nintendo,E,DS
The Legend of Zelda: A Link Between Worlds,Action,2013,Nintendo,3.1,91,8.9,Nintendo,E,3DS
Resident Evil 6,Shooter,2012,Capcom,3.1,74,5.4,Capcom,M,PS3
Madden NFL 2002,Sports,2001,Electronic Arts,3.08,94,7.9,EA,E,PS2
The Sims: Vacation,Simulation,2002,Electronic Arts,3.07,75,7.8,Maxis,T,PC
Animal Crossing: Happy Home Designer,Simulation,2015,Nintendo,3.05,66,6.9,Nintendo,E,3DS
The Sims 4,Simulation,2014,Electronic Arts,3.05,70,3.9,Maxis,T,PC
Tom Clancy's Splinter Cell,Action,2002,Ubisoft,3.02,93,8.5,Ubisoft,T,XB
FIFA 14,Sports,2013,Electronic Arts,3.01,87,6.3,EA,E,PS4
Far Cry 3,Shooter,2012,Ubisoft,3,91,8.6,Ubisoft,M,X360
NBA 2K13,Sports,2012,Take-Two Interactive,3,88,7.2,Visual Concepts,E,X360
The Sims: Livin Large,Misc,2000,Electronic Arts,2.99,82,6.6,Maxis,T,PC
Devil May Cry,Action,2001,Capcom,2.99,94,8.5,Capcom,M,PS2
Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,2.95,88,8.5,EA,M,PS3
Street Fighter IV,Fighting,2009,Capcom,2.94,93,7.3,Capcom,T,X360
Madden NFL 13,Sports,2012,Electronic Arts,2.86,81,5.8,EA,E,X360
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,2.85,83,7.8,Ubisoft,M,PS4
Madden NFL 10,Sports,2009,Electronic Arts,2.83,85,6.1,EA,E,X360
Assassin's Creed: Brotherhood,Action,2010,Ubisoft,2.82,90,8.2,Ubisoft,M,PS3
Medal of Honor,Shooter,2010,Electronic Arts,2.81,75,7.5,EA,M,PS3
Battlefield 3,Shooter,2011,Electronic Arts,2.78,89,7.5,EA,M,PC
The Legend of Zelda: A Link to the Past,Action,2002,Nintendo,2.7,95,9.1,Capcom,E,GBA
Onimusha: Warlords,Action,2001,Other,2.7,86,8.2,Capcom,M,PS2
Madden NFL 12,Sports,2011,Electronic Arts,2.69,78,5.9,EA,E,X360
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,2.69,84,9,Traveller's Tales,E10+,PS2
Madden NFL 11,Sports,2010,Electronic Arts,2.69,84,5.7,EA,E,X360
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle,2010,Nintendo,2.67,79,7.7,Nintendo,E,DS
Guitar Hero: World Tour,Misc,2008,Activision,2.66,85,6.3,Neversoft Entertainment,T,X360
FIFA 17,Sports,2016,Electronic Arts,2.65,84,5.5,EA,E,XOne
Tom Clancy's Splinter Cell,Action,2003,Ubisoft,2.65,89,7.7,Ubisoft,T,PS2
Skate 3,Sports,2010,Electronic Arts,2.63,80,8,EA,T,X360
ESPN NFL 2K5,Sports,2004,Other,2.62,90,8.2,Visual Concepts,E,PS2
NBA 2K12,Sports,2011,Take-Two Interactive,2.62,90,7.7,Visual Concepts,E,X360
FIFA Soccer 10,Sports,2009,Electronic Arts,2.62,90,7.5,EA,E,X360
Harry Potter and the Chamber of Secrets,Action,2002,Electronic Arts,2.61,71,7.6,EA,E,PS2
NBA Live 2005,Sports,2004,Electronic Arts,2.59,84,8.1,EA,E,PS2
FIFA Soccer 09,Sports,2008,Electronic Arts,2.58,87,7.5,EA,E,PS3
WWE SmackDown vs. RAW 2007,Fighting,2006,Other,2.58,80,8.6,Yuke's,T,PS2
LEGO Star Wars: The Complete Saga,Action,2007,Other,2.57,80,7.4,Traveller's Tales,E10+,X360
Madden NFL 08,Sports,2007,Electronic Arts,2.57,78,7.8,EA,E,PS2
Monster Hunter Freedom 2,Role-Playing,2007,Capcom,2.57,72,8.7,Capcom,T,PSP
Madden NFL 13,Sports,2012,Electronic Arts,2.56,83,5.5,EA,E,PS3
Madden NFL 09,Sports,2008,Electronic Arts,2.53,83,7,EA,E,X360
NBA 2K14,Sports,2013,Take-Two Interactive,2.52,87,4.9,Visual Concepts,E,X360
Mortal Kombat: Deadly Alliance,Fighting,2002,Midway Games,2.49,79,8.8,Midway,M,PS2
Game Party,Misc,2007,Midway Games,2.48,25,4.3,Midway,E,Wii
NBA 2K13,Sports,2012,Take-Two Interactive,2.47,90,8,Visual Concepts,E,PS3
NBA 2K15,Sports,2014,Take-Two Interactive,2.45,83,7,Visual Concepts,E,PS4
The Sims: Bustin' Out,Simulation,2003,Electronic Arts,2.43,81,8.4,Maxis,T,PS2
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,2.43,79,8,Traveller's Tales,E10+,Wii
Madden NFL 16,Sports,2015,Electronic Arts,2.42,84,6.1,EA,E,XOne
Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,Ubisoft,2.42,82,7.8,Ubisoft,M,X360
Need for Speed Carbon: Own the City,Racing,2006,Electronic Arts,2.42,73,7.9,EA,E10+,PSP
pro evolution soccer 2011,Sports,2010,Konami Digital Entertainment,2.41,77,6.8,Konami,E,PS3
Madden NFL 11,Sports,2010,Electronic Arts,2.38,83,6.1,EA,E,PS3
Madden NFL 08,Sports,2007,Electronic Arts,2.37,85,6.4,EA,E,X360
Tony Hawk's Underground 2,Sports,2004,Activision,2.37,83,8.8,Neversoft Entertainment,T,PS2
Madden NFL 10,Sports,2009,Electronic Arts,2.37,85,6.8,EA,E,PS3
WWE SmackDown vs Raw 2008,Fighting,2007,Other,2.34,71,7.2,Yuke's,T,PS2
Resident Evil - Code: Veronica X,Action,2001,Capcom,2.34,84,8.4,Capcom,M,PS2
NBA 2K16,Sports,2015,Take-Two Interactive,2.34,86,6.2,Visual Concepts,E10+,XOne
James Bond 007: Everything or Nothing,Shooter,2004,Electronic Arts,2.31,84,9.1,EA,T,PS2
Need For Speed: High Stakes,Racing,1999,Electronic Arts,2.31,86,8.5,EA,E,PS
LEGO Star Wars: The Complete Saga,Action,2007,Other,2.29,80,6.7,Traveller's Tales,E10+,PS3
Need for Speed Underground 2,Racing,2004,Electronic Arts,2.28,77,8.7,EA,E,XB
Pro Evolution Soccer 2010,Sports,2009,Konami Digital Entertainment,2.28,78,6.7,Konami,E,PS3
FIFA Soccer 09,Sports,2008,Electronic Arts,2.28,82,6.9,EA,E,PS2
Wario Land 4,Platform,2001,Nintendo,2.26,88,8.9,Nintendo,E,GBA
Far Cry: Primal,Action,2016,Ubisoft,2.26,76,6.3,Ubisoft,M,PS4
Battlefield 1,Shooter,2016,Electronic Arts,2.25,87,8.2,EA,M,XOne
Onimusha 2: Samurai's Destiny,Adventure,2002,Capcom,2.25,84,9,Capcom,M,PS2
Madden NFL 12,Sports,2011,Electronic Arts,2.25,79,5.5,EA,E,PS3
Guitar Hero III: Legends of Rock,Misc,2007,Activision,2.24,83,7.8,Neversoft Entertainment,T,PS3
New Super Luigi U,Platform,2013,Nintendo,2.24,77,7.9,Nintendo,E,WiiU
Madden NFL 25,Sports,2013,Electronic Arts,2.23,80,5.6,EA,E,X360
Prince of Persia: The Sands of Time,Action,2003,Ubisoft,2.22,92,8.8,Ubisoft,T,PS2
Monster Hunter Tri,Role-Playing,2009,Nintendo,2.22,84,8.6,Capcom,T,Wii
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,2.22,80,7.6,TT Games,E10+,X360
Tom Clancy's Rainbow Six: Siege,Shooter,2015,Ubisoft,2.21,73,7.3,Ubisoft,M,PS4
Madden NFL 15,Sports,2014,Electronic Arts,2.19,81,6.1,EA,E,PS4
Pro Evolution Soccer 2012,Action,2011,Konami Digital Entertainment,2.19,80,6.6,Konami,E,PS3
FIFA 15,Sports,2014,Electronic Arts,2.18,82,5.4,EA,E,XOne
The Sims: House Party,Simulation,2001,Electronic Arts,2.16,74,7.9,Maxis,T,PC
Your Shape featuring Jenny McCarthy,Sports,2009,Ubisoft,2.12,62,5.2,Ubisoft,E,Wii
NBA 2K12,Sports,2011,Take-Two Interactive,2.11,90,6.7,Visual Concepts,E,PS3
Dynasty Warriors 4,Action,2003,Tecmo Koei,2.11,78,9.3,Omega Force,T,PS2
NBA 2K14,Sports,2013,Take-Two Interactive,2.11,84,4.9,Visual Concepts,E,PS3
Tetris DS,Puzzle,2006,Nintendo,2.1,84,8.7,Nintendo,E,DS
Devil May Cry 3: Dante's Awakening,Action,2005,Capcom,2.09,84,9,Capcom,M,PS2
NBA 2K11,Action,2010,Take-Two Interactive,2.09,89,8.1,Visual Concepts,E,X360
Dead Rising,Action,2006,Capcom,2.08,85,7.6,Capcom,M,X360
Need for Speed: Most Wanted 5-1-0,Racing,2005,Electronic Arts,2.07,72,7.8,EA,E10+,PSP
Dance Dance Revolution: Hottest Party,Simulation,2007,Konami Digital Entertainment,2.07,73,7.1,Konami,E10+,Wii
UFC 2009 Undisputed,Fighting,2009,Other,2.06,83,7.9,Yuke's,T,X360
SoulCalibur II,Fighting,2003,Other,2.06,92,8.8,Namco,T,PS2
Need for Speed: ProStreet,Racing,2007,Electronic Arts,2.05,72,7.1,EA,E10+,X360
Need For Speed: Undercover,Racing,2008,Electronic Arts,2.05,59,5.9,EA,T,PS3
Peter Jackson's King Kong: The Official Game of the Movie,Action,2005,Ubisoft,2.04,82,8.2,Ubisoft,T,PS2
Need for Speed: ProStreet,Racing,2007,Electronic Arts,2.04,73,6,EA,E10+,PS3
NBA Live 2004,Sports,2003,Electronic Arts,2.03,86,7.7,EA,E,PS2
Rayman Raving Rabbids: TV Party,Misc,2008,Ubisoft,2.03,73,7.7,Ubisoft,E10+,Wii
Just Dance 3,Misc,2011,Ubisoft,2.02,70,7.7,Ubisoft,E10+,X360
Battlefield 4,Shooter,2013,Electronic Arts,2.02,81,6.6,EA,M,XOne
Dead Space,Action,2008,Electronic Arts,2,88,8.8,EA,M,PS3
Mortal Kombat vs. DC Universe,Fighting,2008,Midway Games,2,76,7.1,Midway,T,PS3
Skate 3,Sports,2010,Electronic Arts,1.98,80,7.6,EA,T,PS3
Devil May Cry 2,Action,2003,Capcom,1.97,68,6.6,Capcom,M,PS2
Tom Clancy's Rainbow Six: Vegas,Shooter,2006,Ubisoft,1.95,88,8.3,Ubisoft,M,X360
Crash Nitro Kart,Racing,2003,Other,1.95,69,7.7,Vicarious Visions,E,PS2
Resident Evil 6,Shooter,2012,Capcom,1.95,67,5,Capcom,M,X360
NBA Street Vol. 2,Sports,2003,Electronic Arts,1.95,90,8.8,EA,E,PS2
FIFA Soccer 09,Sports,2008,Electronic Arts,1.94,87,8,EA,E,X360
Tom Clancy's Ghost Recon,Shooter,2002,Ubisoft,1.94,63,8.3,Ubisoft,M,PS2
Mortal Kombat vs. DC Universe,Fighting,2008,Midway Games,1.93,72,7.5,Midway,T,X360
The Sims: Makin' Magic,Simulation,2003,Electronic Arts,1.92,80,8.6,Maxis,T,PC
Guitar Hero: World Tour,Misc,2008,Activision,1.92,84,7.5,Neversoft Entertainment,T,PS3
Monopoly,Misc,2008,Electronic Arts,1.89,70,7.8,EA,E,Wii
Madden NFL 09,Sports,2008,Electronic Arts,1.88,85,4.4,EA,E,PS3
Game Party 2,Misc,2008,Midway Games,1.88,29,4.6,Midway,E,Wii
Mortal Kombat: Deception,Fighting,2004,Midway Games,1.88,81,8.5,Midway,M,PS2
NBA 2K17,Sports,2016,Take-Two Interactive,1.88,88,6.7,Visual Concepts,E,PS4
Madden NFL 25,Sports,2013,Electronic Arts,1.87,76,4.1,EA,E,PS3
Dynasty Warriors 3,Action,2001,Other,1.87,78,9.1,Omega Force,T,PS2
Madden NFL 06,Sports,2005,Electronic Arts,1.86,86,6.7,EA,E,XB
NBA Live 2002,Sports,2001,Electronic Arts,1.86,70,7.4,EA,E,PS2
LEGO Marvel Super Heroes,Action,2013,Warner Bros. Interactive Entertainment,1.84,82,7.9,TT Games,E10+,PS3
NCAA Football 06,Sports,2005,Electronic Arts,1.84,87,8.5,EA,E,PS2
Rayman Raving Rabbids 2,Misc,2007,Ubisoft,1.83,67,8.3,Ubisoft,E10+,Wii
The Sims: Hot Date,Simulation,2001,Electronic Arts,1.82,85,7.9,Maxis,T,PC
DDRMAX2: Dance Dance Revolution,Simulation,2003,Konami Digital Entertainment,1.81,82,8.2,Konami,E,PS2
Madden NFL 07,Sports,2006,Electronic Arts,1.8,80,6,EA,E,X360
NBA 2K11,Action,2010,Take-Two Interactive,1.8,89,7.6,Visual Concepts,E,PS3
LEGO Star Wars III: The Clone Wars,Action,2011,Other,1.76,76,7.7,Traveller's Tales,E10+,Wii
The Urbz: Sims in the City,Simulation,2004,Electronic Arts,1.76,70,8.2,Maxis,T,PS2
Madden NFL 17,Sports,2016,Electronic Arts,1.75,82,4.9,EA,E,PS4
FIFA Soccer 08,Sports,2007,Electronic Arts,1.75,81,7.1,EA,E,PS3
Dance Dance Revolution X,Simulation,2008,Konami Digital Entertainment,1.75,55,6.2,Konami,E10+,PS2
